address,city,state,zipcode,latitude,longitude
39507 10th St W,Palmdale,California (CA),93551,34.600495462732226,-118.14787958639528
44250 Town Center Way,Palm Desert,California (CA),92260,33.72779601892819,-116.39692897740608
855 El Camino Real,Palo Alto,California (CA),94301,37.43942398924354,-122.15864301759686
467 N Rosemead Blvd,Pasadena,California (CA),91107,34.15374501801736,-118.07821302585221
610 S Arroyo Pkwy,Pasadena,California (CA),91105,34.13515601034051,-118.1469250182374
3035 E Huntington Dr,Pasadena,California (CA),91107,34.127901012137485,-118.08946497649396
345 S Lake Ave,Pasadena,California (CA),91101,34.140003013489775,-118.133139972637
169 N McDowell Blvd,Petaluma,California (CA),94954,38.24837298982234,-122.6282369637062
2742 Pinole Valley Rd,Pinole,California (CA),94564,37.99503000825412,-122.28643896164672
3903 Santa Rita Road,Pleasanton,California (CA),94588,37.69669401817801,-121.87677897600307
6401 Haven Ave,Rancho Cucamonga,California (CA),91737,34.13770901231919,-117.57443801386954
31176 Hawthorne Blvd,Rancho Palos Verdes,California (CA),90275,33.74914401385428,-118.40697498917905
28901 S Western Ave,Rancho Palos Verdes,California (CA),90275,33.755894002390974,-118.31140997740971
30652 Santa Margarita Pkwy,Rancho Santa Margarita,California (CA),92688,33.64244200924526,-117.59543199911501
845 Browning St,Redding,California (CA),96003,40.59170601917046,-122.35712799353391
552 Orange St,Redlands,California (CA),92374,34.060543996310116,-117.1810860266821
1761 S Elena Ave,Redondo Bch.,California (CA),90277,33.81797407928747,-118.38558032316816
6225 Riverside Plaza,Riverside,California (CA),92506,33.95596299039012,-117.38847199705825
5116 Commons Dr. #103,Rocklin,California (CA),95677,38.80285298396035,-121.20917002726773
1117 Roseville Square,Roseville,California (CA),95678,38.74565998965207,-121.27615199483752
5000 Folsom Blvd,Sacramento,California (CA),95819,38.560484805405366,-121.44474978625996
2625 Marconi Ave,Sacramento,California (CA),95821,38.61844172636907,-121.4000783494674
1482 El Camino Real,San Carlos,California (CA),94070,37.49664300936118,-122.24827196553736
638 Camino de Los Mares,San Clemente,California (CA),92673,33.457827993416146,-117.65139503295133
13480 Highlands Place,San Diego,California (CA),92130,32.96114499352926,-117.19134597908302
1072 Camino Del Rio North,San Diego,California (CA),92108,32.76546189625985,-117.15587738749761
11955 Carmel Mountain Rd,San Diego,California (CA),92128,32.98199900099169,-117.07485797678812
1090 University Avenue,San Diego,California (CA),92103,32.749873005202915,-117.15379102954353
1640 Garnet Ave,San Diego,California (CA),92109,32.80065799262405,-117.24060097580804
2401 Truxtun Rd,San Diego,California (CA),92106,32.7357629932164,-117.21663602498202
5140 College Ave,San Diego,California (CA),92115,32.7718920133877,-117.07032998887371
9850 Hibert St,San Diego,California (CA),92131,32.91430201517153,-117.1151799602039
856 W Arrow Hwy,San Dimas,California (CA),91773,34.10363301360218,-117.82221604037201
3 Masonic Ave,San Francisco,California (CA),94118,37.783388000812096,-122.44784600215398
555 9th St,San Francisco,California (CA),94103,37.771014006701776,-122.4073260381852
1095 Hyde St,San Francisco,California (CA),94109,37.790610016226125,-122.41797901802602
401 Bay St,San Francisco,California (CA),94133,37.80538001926867,-122.41435996369196
10 4th Street,San Francisco,California (CA),94103,37.78511002090997,-122.4057560239014
265 Winston Dr,San Francisco,California (CA),94132,37.72660098398411,-122.47662803273491
7250 Bollinger Rd,San Jose,California (CA),95129,37.31177799744148,-122.03093499971132
635 Coleman Ave,San Jose,California (CA),95110,37.34099601271609,-121.90938600427909
5353 Almaden Expressway #J-38,San Jose,California (CA),95118,37.25328899326422,-121.87791899865397
5269 Prospect,San Jose,California (CA),95129,37.29395098858231,-121.99475099425518
